label	sentence	filename
0	Frans Erenstraat 14A 	www.idates.com
0	Support requests via compliance @ as well as email attachments will not be opened/considered due to security regulations . 	www.idates.com
0	Questions Related to Data Protection and Exercising your Rights 	www.idates.com
4	"If you have any questions related to data protection , or if you wish to exercise your rights , please contact EMAIL or the address stated above , adding the keyword Data Protection . "	www.idates.com
0	In which cases will we process personal data 	www.idates.com
0	We will process personal data which you transfer to us actively by your entries 	www.idates.com
0	"Additionally , we will process personal data in an automated way , based on the use of our service "	www.idates.com
0	Particularly in the cases stated below your personal data may be processed . 	www.idates.com
0	Visiting our website 	www.idates.com
0	Creating a customer account 	www.idates.com
0	Contacting other users or us 	www.idates.com
0	Analyzes of the users motivations for visiting our website and how they use it 	www.idates.com
0	Visiting our Website 	www.idates.com
0	"As soon as you visit our website , the company we have entrusted with the websites operation will store the public IP address of the computer you are using to visit our website "	www.idates.com
0	This includes the access date and time 	www.idates.com
0	"The IP address is a unique numeric address , through which your computer sends and receives data via the internet "	www.idates.com
0	"Usually , neither we nor our service provider will know whom the IP address belongs to , unless you provide us with any data permitting us to identify you while using our website "	www.idates.com
0	"Also , a user can be identified if we take legal action ( in cases of cyber-attacks on our website , for instance ) and are informed of the users identity during the process of investigation "	www.idates.com
0	"So as a general rule , you will not have to worry we will be able to draw a connection between you and your IP address . "	www.idates.com
0	"Our service provider is using the IP address to enable you to visit and use our website , and to discover and prevent attacks on our websites "	www.idates.com
0	"Unfortunately , websites are attacked frequently , in order to harm the operators and users ( for example blocking the access , spying on data , distributing malware like viruses or other illegal purposes ) "	www.idates.com
0	Such attacks would adversely affect our websites intended use as well as the security of our websites visitors 	www.idates.com
0	"The IP address , along with the visits time , is being processed to prevent such attacks and potential dangers resulting from them for ourselves and for our websites users "	www.idates.com
0	Via our service provider we are pursuing the justified interests of maintaining our business operations as well as of preventing unlawful interference affecting ourselves or our websites visitors 	www.idates.com
0	The legal basis of this processing activity is article 6 paragraph 1 f ) of the General Data Protection Regulation ( GDPR ) 	www.idates.com
2	"The stored IP data will be deleted by de-personalization , provided they are no longer necessary for the purpose of identifying or preventing attacks . "	www.idates.com
0	"Whenever you contact us via one of the ways of contact provided , we will make use of the data provided by you to process your inquiry "	www.idates.com
0	The legal basis for this is our justified interest in replying to your request according to article 6 paragraph 1 f of the General Data Protection Regulation ( GDPR ) 	www.idates.com
0	"If your request is serving the purpose of concluding or processing a contract with us , the additional basis of the processing activity is article 6 paragraph 1 b of the General Data Protection Regulation ( GDPR ) "	www.idates.com
0	The data will be deleted after your request has been completed 	www.idates.com
2	"In cases in which we are obligated by law to store the data for a longer period , they will be deleted after the expiry of this period . "	www.idates.com
0	Creating a Customer Account 	www.idates.com
0	You are using our service to have erotic adventures and contact other users 	www.idates.com
0	"To use all of our offers functionalities , you need to create a customer account "	www.idates.com
1	"Apart from the information required during the registration process , all other personal information will be provided voluntarily . "	www.idates.com
0	You alone decide what information you would like to include in your user profile 	www.idates.com
7	You can edit or delete your data at any time 	www.idates.com
0	"The more information you provide , the higher are the chances for other users to find you and recognize mutual interests you share with them "	www.idates.com
0	"As our website is accessible for everyone via the internet , all the information provided by you will be public . "	www.idates.com
0	"If you do not provide any data permitting us to identify you ( such as your mobile number ) , you can use our service without us knowing who you are "	www.idates.com
1	"If you buy coins , you will have to provide your name and your address , but only our payment service provider will receive this data , which they will not forward to us "	www.idates.com
0	"Accordingly , you will be able to use our service anonymously . "	www.idates.com
3	"If you create a customer account and add information to your profile , we are processing the data provided by you for this purpose , to create and administrate your customer account , as well as to enable you to make use of the services related to your customer account "	www.idates.com
3	"Additionally , the data will be used for our service and made accessible to other users , in accordance with their intended purpose ( for example searching for specific inclinations and interests , match checks to identify mutual interests and preferences ) . "	www.idates.com
0	The legal basis of this processing activity is article 6 paragraph 1 b ) of the General Data Protection Regulation ( GDPR ) . 	www.idates.com
0	"During the process of creating a user account , we will be able to identify your approximate location , based on your IP address "	www.idates.com
0	"We will use this to pre-enter this location in your user profile , which you can change "	www.idates.com
0	This is done to ensure that the members of our service will use the correct location for local searches and thereby C unless they adapt the location C will find other members 	www.idates.com
0	The legal basis of this processing activity is article 6 paragraph 1 f ) of the General Data Protection Regulation ( GDPR ) . 	www.idates.com
2	The data will be stored until the customer account is deleted . 	www.idates.com
2	"In cases in which we are obligated by law to store the data beyond this event ( to fulfill accounting obligations , for instance ) , or if we are legally entitled to store the data beyond this event ( in case of a current lawsuit against the user account owner , for instance ) , the data will be deleted as soon as the obligation or the legal authorization to store the data ceases to exist . "	www.idates.com
0	For an easier signup to our service you can use the corresponding services by Google and Facebook 	www.idates.com
0	"In this case , your account with the respective provider will also serve as an access to our service "	www.idates.com
0	"For the use of these services , the data privacy policy of the corresponding provider applies in the first instance ( data privacy policy Google as well as Facebook ) as well as any additional agreements you have consented to as a customer of Google or Facebook "	www.idates.com
0	"Regarding this , please refer to the corresponding data privacy policies of Google or Facebook and check the agreements you have consented to in connection with these contracts or separately . "	www.idates.com
0	"The corresponding provider will transfer the following personal data regarding you , which we will store in your customer account and process as stated under ? Customer Account . "	www.idates.com
0	Profile Picture ( we will only use the first profile picture ) 	www.idates.com
0	Facebook-Sites you have liked ( Likes ) 	www.idates.com
0	"The legal basis of this processing activity is article 6 paragraph 1 a ) of the General Data Protection Regulation ( GDPR ) , as you are agreeing to the data transfer by using the corresponding service . "	www.idates.com
0	"If you add any data to your profile , or otherwise communicate any data to us for processing , which could be considered to be data of special categories within the meaning of article 9 of the General Data Protection Regulation ( GDPR ) ( for example ethnic origin , religious or ideological conviction , data referring to sexual life or sexual orientation ) , we will process them on the sole basis of your voluntary indications and use them for no other purpose than providing the functionalities of our service , for which these data will be accessed and used "	www.idates.com
0	"This involves the public indication of these data in relation to your customer account for other users of our service , public search functions for users , match checks and all other functionalities of which it is recognizable to you as a user that these data are being used for them "	www.idates.com
0	"If you do not wish this to be done , please do not add any data of the nature defined in article 9 of the General Data Protection Regulation ( GDPR ) to your user profile and do not communicate any such data to us or to other users . "	www.idates.com
0	As a part of our contractual services we are offering our users the option of sending and receiving chat messages 	www.idates.com
0	The legal basis of the corresponding processing of personal data is article 6 paragraph 1 b ) of the General Data Protection Regulation ( GDPR ) 	www.idates.com
2	"The corresponding messages will be saved until you have them deleted , provided we are neither legally obligated nor entitled to continue the storing . "	www.idates.com
0	Calculating your Position 	www.idates.com
0	"In order to be able to suggest other users of our service in your neighborhood , we will calculate your position via your browser "	www.idates.com
